userId,movieId,movieName,prediction,trueValue
4446,163134,Your Name. (2016),4.781,3.5395842976007232
4446,7371,Dogville (2003),4.737,3.5395842976007232
4446,174053,Black Mirror: White Christmas (2014),4.723,3.5395842976007232
4446,86504,Voices from the List (2004),4.721,3.5395842976007232
4446,214,Before the Rain (Pred dozhdot) (1994),4.703,3.5395842976007232
4446,5690,Grave of the Fireflies (Hotaru no haka) (1988),4.656,3.5395842976007232
4446,3091,Kagemusha (1980),4.655,3.5395842976007232
4446,7700,"Wages of Fear, The (Salaire de la peur, Le) (1953)",4.65,3.5395842976007232
4458,858,"Godfather, The (1972)",5.0,3.5395842976007232
4458,3022,"General, The (1926)",5.0,3.5395842976007232
4458,7371,Dogville (2003),5.0,3.5395842976007232
4458,174053,Black Mirror: White Christmas (2014),5.0,3.5395842976007232
4458,159817,Planet Earth (2006),5.0,3.5395842976007232
4458,4380,"Princess and the Warrior, The (Krieger und die Kaiserin, Der) (2000)",5.0,3.5395842976007232
4458,5120,Sleuth (1972),5.0,3.5395842976007232
4458,7700,"Wages of Fear, The (Salaire de la peur, Le) (1953)",5.0,3.5395842976007232
4412,1214,Alien (1979),4.541,3.5395842976007232
4412,214,Before the Rain (Pred dozhdot) (1994),4.51,3.5395842976007232
4412,1197,"Princess Bride, The (1987)",4.484,3.5395842976007232
4412,170705,Band of Brothers (2001),4.457,3.5395842976007232
4412,3091,Kagemusha (1980),4.445,3.5395842976007232
4412,122886,Star Wars: Episode VII - The Force Awakens (2015),4.424,3.5395842976007232
4412,92259,Intouchables (2011),4.41,3.5395842976007232
4412,541,Blade Runner (1982),4.406,3.5395842976007232
3734,174053,Black Mirror: White Christmas (2014),4.598,3.5395842976007232
3734,163134,Your Name. (2016),4.532,3.5395842976007232
3734,58559,"Dark Knight, The (2008)",4.529,3.5395842976007232
3734,79132,Inception (2010),4.505,3.5395842976007232
3734,3091,Kagemusha (1980),4.486,3.5395842976007232
3734,1196,Star Wars: Episode V - The Empire Strikes Back (1980),4.48,3.5395842976007232
3734,160718,Piper (2016),4.463,3.5395842976007232
3734,214,Before the Rain (Pred dozhdot) (1994),4.454,3.5395842976007232
4447,356,Forrest Gump (1994),5.0,3.5395842976007232
4447,527,Schindler's List (1993),5.0,3.5395842976007232
4447,79132,Inception (2010),5.0,3.5395842976007232
4447,7371,Dogville (2003),5.0,3.5395842976007232
